,Bruteforce,DDoS,Deauthentication,DoS,Evil Twin,Fake Landing,MITM,Normal,Reconnaissance,Scanning
Bruteforce,0.9999999999999508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDoS,0.0,0.9999999999999973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deauthentication,0.0,0.0,0.03787878787877353,0.9621212121208478,0.0,0.0,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.019728918369914954,0.9801182836290415,0.0,0.0,0.00015279800104262152,0.0,0.0,0.0
Evil Twin,0.0,0.0,0.0,0.0,0.857142857139796,0.0,0.14285714285663267,0.0,0.0,0.0
Fake Landing,0.0,0.0,0.0,0.0,0.0,0.9327731092429136,0.06722689075624602,0.0,0.0,0.0
MITM,0.0,0.0,0.0,0.0,0.02870090634440654,0.0075528700906333,0.9622356495466824,0.0015105740181266599,0.0,0.0
Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999954546,0.0,0.0
Reconnaissance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003489183531053612,0.602930914166064,0.39672016748079564
Scanning,0.0,0.0,0.0,0.0,0.0,0.0,0.00011222085063404655,0.0,0.19380540904499838,0.8060823701043563
